A,A,A,A,A,A,W,E,E,E,E,E,E,E,W,H,H,H,H,H,H
A,A,A,A,A,A,W,E,E,E,E,E,E,E,W,H,H,H,H,H,H
A,A,A,A,A,A,W,EL,E,E,E,E,E,ER,W,H,H,H,H,H,H
A,A,A,A,A,A,W,E,E,E,E,E,E,E,W,H,H,H,H,H,H
A,A,A,A,A,A,W,E,E,E,E,E,E,E,W,H,HD,H,H,H,H
A,A,A,A,AD,A,W,E,E,E,E,E,E,E,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,S,S,S,S
L,L,L,L,L,W,W,W,W,W,S,S,S,W,W,S,SU,S,S,S,S
L,L,L,L,L,W,W,W,W,W,S,S,S,W,W,S,S,S,S,S,S
L,L,L,L,L,LU,L,L,L,W,S,S,S,W,W,S,S,S,S,S,S
L,L,L,L,L,L,L,L,L,W,S,S,S,W,W,S,SD,S,S,S,S
L,L,L,L,L,L,L,L,L,W,S,S,S,W,W,W,W,S,S,S,S
L,L,L,L,L,L,L,L,L,W,W,W,W,W,W,W,W,S,S,S,S
W,W,W,W,W,W,W,W,W,W,D,D,D,D,D,D,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,DL,D,D,D,D,D,W,W,W,W,W
O,O,O,O,W,W,W,W,W,W,D,D,D,D,D,DR,W,GL,G,G,G
O,O,O,OR,W,W,W,W,W,W,D,D,D,D,D,D,W,G,G,G,G
O,O,O,O,W,W,W,W,W,W,W,W,W,W,W,W,W,G,G,G,G
O,O,O,O,W,W,B,B,BU,B,B,B,B,B,B,W,W,G,G,G,G
O,O,O,O,W,W,B,B,B,B,B,B,B,B,B,W,W,G,G,G,G
O,O,O,O,W,W,B,B,B,B,B,B,B,B,B,W,W,G,G,G,G
